,Escherichia coli,salmonella enterica subsp. enterica,mycobacterium tuberculosis,streptococcus pneumoniae,pseudomonas putida,staphylococcus aureus,neisseria meningitidis,salmonella enterica,bacillus subtilis,Helicobacter pylori,Klebsiella aerogenes,Haemophilus influenzae,Streptococcus gordonii,Neisseria gonorrhoeae,trypanosoma cruzi,trypanosoma brucei,borrelia burgdorferi,mycobacterium leprae,corynebacterium diphtheriae,pseudomonas aeruginosa,vibrio vulnificus,yersinia enterocolitica,klebsiella pneumoniae,shigella,clostridium difficile,clostridium botulinum,clostridium tetani,clostridium perfringens,bacillus cereus,listeria monocytogenes,streptococcus pyogenes
PROMOTERS,251,24,39,18,7,105,21,26,119,186,1,9,4,6,53,65,5,2,2,29,1,1,41,2,5,8,4,16,9,9,1
training,181,15,29,11,5,71,12,18,86,128,0,5,3,5,35,47,3,1,1,18,1,0,28,2,5,4,1,13,7,9,1
testing,42,5,4,5,2,20,6,2,16,27,0,2,1,1,10,7,1,1,1,4,0,1,9,0,0,2,2,2,1,0,0
validation,28,4,6,2,0,14,3,6,17,31,1,2,0,0,8,11,1,0,0,7,0,0,4,0,0,2,1,1,1,0,0
NON-PROMOTERS,500,492,499,183,222,500,426,492,380,60,500,192,14,274,35,54,12,9,192,500,356,500,500,500,211,41,35,206,500,102,133
training,345,346,347,130,155,352,301,345,263,44,351,136,10,191,27,36,9,7,135,352,249,351,351,349,146,30,26,142,349,69,93
testing,70,72,77,25,32,71,61,75,59,10,75,28,2,41,3,11,2,1,28,75,53,74,72,75,33,6,4,32,75,17,20
validation,85,74,75,28,35,77,64,72,58,6,74,28,2,42,5,7,1,1,29,73,54,75,77,76,32,5,5,32,76,16,20
TOTAL,751,516,538,201,229,605,447,518,499,246,501,201,18,280,88,119,17,11,194,529,357,501,541,502,216,49,39,222,509,111,134
